Designator,Mid X,Mid Y,Rotation,Layer
R32,252.1712,-284.5288,270.0,top
R33,249.8344,-285.3924,270.0,top
R34,247.2944,-280.926,90.0,top
R35,244.729,-281.6098,90.0,top
R36,242.5446,-282.4246,90.0,top
R37,240.1316,-283.2374,90.0,top
R38,235.331,-285.0408,90.0,top
R39,213.9208,-287.7312,0.0,top
R4,259.334,-281.938,270.0,top
R40,213.9208,-285.6992,0.0,top
R41,213.9188,-284.6578,0.0,top
R42,213.9188,-283.6164,0.0,top
R43,213.9168,-282.575,0.0,top
R44,213.9148,-281.5336,0.0,top
R45,267.1318,-236.1438,270.0,top
R46,269.1892,-236.1204,270.0,top
R47,270.2306,-236.1224,270.0,top
R48,271.272,-236.1184,270.0,top
R49,272.3134,-236.1184,270.0,top
R5,256.5654,-261.11,90.0,top
R50,273.3548,-236.1184,270.0,top
R51,193.9494,-287.7142,0.0,top
R52,193.9454,-285.6822,0.0,top
R53,193.9454,-284.6662,0.0,top
R54,193.9454,-283.6502,0.0,top
R55,193.9454,-282.5834,0.0,top
R56,193.9474,-281.5674,0.0,top
R57,173.9196,-287.8234,0.0,top
R58,173.9144,-285.7914,0.0,top
R59,173.9164,-284.7754,0.0,top
R6,242.189,-266.2916,90.0,top
R60,173.9204,-283.7086,0.0,top
R61,173.9184,-282.6418,0.0,top
R62,173.9184,-281.575,0.0,top
R63,282.9356,-189.443,270.0,top
R64,283.9516,-189.443,270.0,top
R65,285.0184,-189.443,270.0,top
R66,286.0344,-189.441,270.0,top
R67,287.0504,-189.441,270.0,top
R68,288.0664,-189.441,270.0,top
R69,280.9036,-189.441,270.0,top
R7,244.5512,-265.4534,90.0,top
R70,289.0824,-189.441,270.0,top
R71,279.6688,-218.6949,270.0,top
R72,281.7008,-218.6949,270.0,top
R73,282.7168,-218.6949,270.0,top
R74,283.7328,-218.6949,270.0,top
R75,284.7488,-218.6929,270.0,top
R76,285.7648,-218.6969,270.0,top
R77,286.7808,-218.6969,270.0,top
R78,287.7968,-218.6969,270.0,top
R79,69.8754,-242.734,270.0,top
R8,282.7782,-251.5342,90.0,top
R80,71.9074,-242.736,270.0,top
R81,72.9234,-242.736,270.0,top
R82,73.9394,-242.736,270.0,top
R83,74.9554,-242.736,270.0,top
R84,75.9714,-242.736,270.0,top
R85,76.9874,-242.736,270.0,top
R86,78.0034,-242.732,270.0,top
R87,145.6806,-288.8996,0.0,top
R88,145.6806,-286.8676,0.0,top
R89,145.6806,-285.8516,0.0,top
R9,278.003,-253.2868,90.0,top
R90,145.6826,-284.8356,0.0,top
R91,145.6806,-283.8196,0.0,top
R92,145.6806,-282.8036,0.0,top
R93,145.6806,-281.7876,0.0,top
R94,145.6806,-280.7716,0.0,top
R95,117.7634,-288.8284,0.0,top
R96,117.7674,-286.7964,0.0,top
R97,117.7674,-285.7804,0.0,top
R98,117.7674,-284.7644,0.0,top
R99,117.7674,-283.7484,0.0,top
SW1,284.48,-113.0027,90.0,top
U10,151.2375,-284.7046,90.0,top
U11,123.4727,-284.6518,90.0,top
U12,95.8443,-284.6862,90.0,top
U13,95.8147,-266.0806,90.0,top
U14,74.0658,-219.1461,0.0,top
U15,225.1341,-284.2666,0.0,top
U16,270.6472,-247.2615,270.0,top
U17,205.0945,-284.8288,0.0,top
U18,185.1123,-284.2826,0.0,top
U19,282.9048,-205.7578,270.0,top
U2,251.5972,-257.3979,90.0,top
U20,286.5272,-205.7709,270.0,top
U21,285.3944,-235.3721,270.0,top
U22,281.7876,-235.3873,270.0,top
U23,71.8668,-259.4665,270.0,top
U24,75.3974,-259.4665,270.0,top
U25,162.2607,-283.4386,0.0,top
U26,162.2531,-286.9794,0.0,top
U27,134.2732,-286.9508,0.0,top
U28,134.2953,-283.3776,0.0,top
U29,106.7617,-286.9844,0.0,top
U3,218.8989,-284.581,90.0,top
U30,106.7651,-283.465,0.0,top
U31,106.5077,-268.3408,0.0,top
U32,106.5077,-264.856,0.0,top
U33,71.8108,-230.5346,270.0,top
U34,75.3008,-230.5275,270.0,top
U35,77.4852,-209.6995,90.0,top
U36,274.7827,-168.8998,0.0,top
U37,274.8519,-176.3624,0.0,top
U38,274.8519,-181.6252,0.0,top
U39,274.8519,-187.0304,0.0,top
U4,270.3212,-241.0363,0.0,top
U40,257.3394,-121.6008,30.0,top
U41,261.1306,-128.029,30.0,top
U42,263.762,-132.5868,30.0,top
U43,266.4646,-137.2678,30.0,top
U44,218.5836,-89.3604,60.0,top
U45,225.081,-93.0318,60.0,top
U46,229.6387,-95.6632,60.0,top
U47,234.3197,-98.3658,60.0,top
U48,168.8998,-80.8173,90.0,top
U49,176.3624,-80.7481,90.0,top
U5,198.9124,-284.5806,90.0,top
U50,181.6252,-80.7481,90.0,top
U51,187.0304,-80.7481,90.0,top
U52,121.6009,-98.2606,120.0,top
U53,128.029,-94.4694,120.0,top
U54,132.5868,-91.838,120.0,top
U55,137.2678,-89.1354,120.0,top
U56,89.3604,-137.0164,150.0,top
U57,93.0318,-130.519,150.0,top
U58,95.6632,-125.9613,150.0,top
U59,98.3658,-121.2803,150.0,top
U6,178.8892,-284.603,90.0,top
U60,80.8173,-186.7002,180.0,top
U61,80.7481,-179.2376,180.0,top
U62,80.7481,-173.9748,180.0,top
U63,80.7481,-168.5696,180.0,top
U64,98.2606,-233.9991,210.0,top
U65,94.4694,-227.571,210.0,top
U66,91.838,-223.0132,210.0,top
U67,89.1354,-218.3322,210.0,top
U68,137.0164,-266.2396,240.0,top
U69,130.519,-262.5682,240.0,top
U7,285.2236,-194.9198,0.0,top
U70,125.9613,-259.9368,240.0,top
U71,121.2803,-257.2342,240.0,top
U72,186.7002,-274.7827,270.0,top
U73,179.2376,-274.8519,270.0,top
U74,173.9748,-274.8519,270.0,top
U75,168.5696,-274.8519,270.0,top
U76,233.9991,-257.3394,300.0,top
U77,227.571,-261.1306,300.0,top
U78,223.0132,-263.762,300.0,top
U79,218.3322,-266.4646,300.0,top
U8,284.0884,-224.3337,0.0,top
U80,266.2396,-218.5836,330.0,top
U81,262.5682,-225.081,330.0,top
U82,259.9368,-229.6387,330.0,top
U83,257.2342,-234.3197,330.0,top
U9,74.1426,-248.4196,0.0,top
